Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,Westacott Rd
underwire-bra,Satin Underwire Bra,Size,XL,Color,Pink,,,Z402-PK-XL,3
underwire-bra,Satin Underwire Bra,Size,L,Color,Pink,,,Z402-PK-L,6
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Pink,Size,XL,,,Q280-NP-XL,2
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Orange,Size,XL,,,Q280-NO-XL,1
underwire-bra,Satin Underwire Bra,Size,M,Color,Pink,,,Z402-PK-M,5
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Yellow,Size,XL,,,Q280-NY-XL,0
underwire-bra,Satin Underwire Bra,Size,S,Color,Pink,,,Z402-PK-S,4
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Pink,Size,L,,,Q280-NP-L,0
underwire-bra,Satin Underwire Bra,Size,2XL,Color,Blue,,,Z402-BL-2X,3
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Orange,Size,L,,,Q280-NO-L,1
underwire-bra,Satin Underwire Bra,Size,XL,Color,Blue,,,Z402-BL-XL,3
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Yellow,Size,L,,,Q280-NY-L,3
underwire-bra,Satin Underwire Bra,Size,L,Color,Blue,,,Z402-BL-L,10
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Pink,Size,M,,,Q280-NP-M,0
underwire-bra,Satin Underwire Bra,Size,M,Color,Blue,,,Z402-BL-M,6
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Orange,Size,M,,,Q280-NO-M,0
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Yellow,Size,M,,,Q280-NY-M,1
underwire-bra,Satin Underwire Bra,Size,S,Color,Blue,,,Z402-BL-S,1
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Pink,Size,S,,,Q280-NP-S,1
underwire-bra,Satin Underwire Bra,Size,2XL,Color,Red,,,Z402-RD-2X,1
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Orange,Size,S,,,Q280-NO-S,0
mens-stretchy-yoga-bodysuit,Showstopper Bodysuit,Color,Neon Yellow,Size,S,,,Q280-NY-S,1
underwire-bra,Satin Underwire Bra,Size,XL,Color,Red,,,Z402-RD-XL,2
underwire-bra,Satin Underwire Bra,Size,L,Color,Red,,,Z402-RD-L,5
underwire-bra,Satin Underwire Bra,Size,M,Color,Red,,,Z402-RD-M,4
underwire-bra,Satin Underwire Bra,Size,S,Color,Red,,,Z402-RD-S,2
underwire-bra,Satin Underwire Bra,Size,XL,Color,Black,,,Z402-BK-XL,1
mens-lace-cami-tank-top,Paris Lace Cami,Size,2XL,Color,Lavender,,,Z774-LV-2X,0
rip-roaring-brief,Rip Roaring Brief,Color,Black,Size,2XL,,,T052-BK-2X,1
rip-roaring-brief,Rip Roaring Brief,Color,Black,Size,XL,,,T052-BK-XL,0
rip-roaring-brief,Rip Roaring Brief,Color,Black,Size,L,,,T052-BK-L,0
rip-roaring-brief,Rip Roaring Brief,Color,Black,Size,M,,,T052-BK-M,0
rip-roaring-brief,Rip Roaring Brief,Color,Black,Size,S,,,T052-BK-S,4
rip-roaring-brief,Rip Roaring Brief,Color,Aqua,Size,2XL,,,T052-AA-2X,0
rip-roaring-brief,Rip Roaring Brief,Color,Aqua,Size,XL,,,T052-AA-XL,0
rip-roaring-brief,Rip Roaring Brief,Color,Aqua,Size,L,,,T052-AA-L,0
rip-roaring-brief,Rip Roaring Brief,Color,Aqua,Size,M,,,T052-AA-M,0
rip-roaring-brief,Rip Roaring Brief,Color,Aqua,Size,S,,,T052-AA-S,0
rip-roaring-brief,Rip Roaring Brief,Color,Neon Yellow,Size,2XL,,,T052-NY-2X,1
rip-roaring-brief,Rip Roaring Brief,Color,Neon Yellow,Size,XL,,,T052-NY-XL,0
rip-roaring-brief,Rip Roaring Brief,Color,Neon Yellow,Size,L,,,T052-NY-L,0
rip-roaring-brief,Rip Roaring Brief,Color,Neon Yellow,Size,M,,,T052-NY-M,3
rip-roaring-brief,Rip Roaring Brief,Color,Neon Yellow,Size,S,,,T052-NY-S,3
rip-roaring-brief,Rip Roaring Brief,Color,Neon Orange,Size,2XL,,,T052-NO-2X,0
rip-roaring-brief,Rip Roaring Brief,Color,Neon Orange,Size,XL,,,T052-NO-XL,0
rip-roaring-brief,Rip Roaring Brief,Color,Neon Orange,Size,L,,,T052-NO-L,0
rip-roaring-brief,Rip Roaring Brief,Color,Neon Orange,Size,M,,,T052-NO-M,4
rip-roaring-brief,Rip Roaring Brief,Color,Neon Orange,Size,S,,,T052-NO-S,4
rip-roaring-brief,Rip Roaring Brief,Color,Purple,Size,2XL,,,T052-PU-2X,0
rip-roaring-brief,Rip Roaring Brief,Color,Purple,Size,XL,,,T052-PU-XL,0
rip-roaring-brief,Rip Roaring Brief,Color,Purple,Size,L,,,T052-PU-L,0
rip-roaring-brief,Rip Roaring Brief,Color,Purple,Size,M,,,T052-PU-M,4
rip-roaring-brief,Rip Roaring Brief,Color,Purple,Size,S,,,T052-PU-S,3
rip-roaring-brief,Rip Roaring Brief,Color,Pink,Size,2XL,,,T052-PK-2X,0
rip-roaring-brief,Rip Roaring Brief,Color,Pink,Size,XL,,,T052-PK-XL,0
rip-roaring-brief,Rip Roaring Brief,Color,Pink,Size,L,,,T052-PK-L,0
rip-roaring-brief,Rip Roaring Brief,Color,Pink,Size,M,,,T052-PK-M,0
rip-roaring-brief,Rip Roaring Brief,Color,Pink,Size,S,,,T052-PK-S,2
the-smooth-satin-cami,The Smooth Satin Cami,Size,M,Color,Nude,,,Z650-ND-M,2
the-smooth-satin-cami,The Smooth Satin Cami,Size,S,Color,Nude,,,Z650-ND-S,1
the-smooth-satin-cami,The Smooth Satin Cami,Size,S,Color,Blue,,,Z650-BL-S,1
the-smooth-satin-cami,The Smooth Satin Cami,Size,S,Color,Black,,,Z650-BK-S,1
the-smooth-satin-cami,The Smooth Satin Cami,Size,S,Color,Red,,,Z650-RD-S,1
the-smooth-satin-cami,The Smooth Satin Cami,Size,S,Color,Lavender,,,Z650-LV-S,1
the-smooth-satin-cami,The Smooth Satin Cami,Size,S,Color,Mint,,,Z650-MT-S,1
velvet-contour-brief,Velvet Contour Brief,Color,Grey,Size,L,,,V367-GY-L,1
velvet-contour-brief,Velvet Contour Brief,Color,Red,Size,L,,,V367-RD-L,1
the-rayon-cheekster,The Rayon Cheekster,Color,Denim,Size,2XL,,,Z675-DE-2X,2
the-rayon-cheekster,The Rayon Cheekster,Color,Denim,Size,XL,,,Z675-DE-XL,1
the-rayon-cheekster,The Rayon Cheekster,Color,Denim,Size,L,,,Z675-DE-L,1
the-rayon-cheekster,The Rayon Cheekster,Color,Denim,Size,M,,,Z675-DE-M,3
the-rayon-cheekster,The Rayon Cheekster,Color,Denim,Size,S,,,Z675-DE-S,2
the-rayon-cheekster,The Rayon Cheekster,Color,Royal Blue,Size,2XL,,,Z675-RO-2X,1
the-rayon-cheekster,The Rayon Cheekster,Color,Royal Blue,Size,XL,,,Z675-RO-XL,1
the-rayon-cheekster,The Rayon Cheekster,Color,Royal Blue,Size,L,,,Z675-RO-L,3
the-rayon-cheekster,The Rayon Cheekster,Color,Royal Blue,Size,M,,,Z675-RO-M,0
the-rayon-cheekster,The Rayon Cheekster,Color,Royal Blue,Size,S,,,Z675-RO-S,2
the-rayon-cheekster,The Rayon Cheekster,Color,Black,Size,2XL,,,Z675-BK-2X,0
the-rayon-cheekster,The Rayon Cheekster,Color,Black,Size,XL,,,Z675-BK-XL,2
the-rayon-cheekster,The Rayon Cheekster,Color,Black,Size,L,,,Z675-BK-L,2
